,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
390,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,223613,4,11
391,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4,11
392,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4,13
393,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,241040,4,5
394,0.593,0.783,10,-4.716,1,0.0358,0.0165,7.26e-05,0.167,0.646,141.345,221613,4,11
395,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,13
396,0.724,0.703,5,-14.007,1,0.0498,0.0488,2.69e-06,0.146,0.965,129.985,289893,4,13
397,0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919,513000,4,2
398,0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,209467,4,11
399,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573,4,11
400,0.672,0.72,9,-7.781,1,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,193347,4,1
401,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,208947,4,11
402,0.543,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.468,124.011,180943,4,1
403,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4,2
404,0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,130.318,161467,4,7
405,0.855,0.691,2,-6.51,1,0.0514,0.144,0.0,0.36,0.647,121.472,202733,4,11
406,0.63,0.676,2,-9.19,1,0.0277,0.0101,5.35e-06,0.0628,0.901,89.663,139507,4,14
407,0.628,0.565,0,-9.98,1,0.0385,0.175,0.0693,0.349,0.582,132.302,139160,4,14
408,0.522,0.892,6,-8.472,1,0.0515,0.0239,0.0715,0.295,0.939,166.093,127400,4,14
409,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,270773,4,0
410,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4,7
411,0.62,0.872,9,-9.083,1,0.0455,0.0271,0.739,0.253,0.698,129.222,273227,4,0
412,0.667,0.511,0,-11.016,1,0.0292,0.317,0.0,0.135,0.396,82.841,211573,4,11
413,0.619,0.22,0,-13.843,1,0.0672,0.782,1.19e-05,0.124,0.426,75.143,258835,4,12
414,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,324423,4,9
415,0.633,0.823,5,-5.792,1,0.0287,0.0516,0.000496,0.188,0.444,115.107,330533,4,9
416,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,147147,4,14
417,0.56,0.434,4,-14.151,0,0.0729,0.55,0.0,0.346,0.664,112.803,187040,3,1
418,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,199093,4,1
419,0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,221427,4,11
420,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133,4,0
421,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,4,7
422,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4,11
423,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,269360,4,0
424,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,198467,4,1
425,0.421,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839,145867,4,14
