song_name,artist,weeks_on_chart,peak_position,last_week
i will always love you: the best of whitney houston,whitney houston,78,10,3
just cause y'all waited 2,lil durk,81,1,67
the best of nickelback: volume 1,nickelback,68,363,1
swimming,mac miller,168,1,118
9,jason aldean,66,241,1
greatest hits,bob seger & the silver bullet band,403,18,92
ghetto gospel,rod wave,94,565,18
igor,"tyler, the creator",111,88,-
ones,selena,29,1,88
evergreen,pentatonix,2,1,69
music to be murdered by,eminem,96,173,1
bulletproof,young dolph,5,11,-
back of my mind,h.e.r.,23,84,11
anti,rihanna,296,1,85
human: the double album,cody johnson,7,247,1
greatest hits,pitbull,43,1,91
all time greatest hits,lynyrd skynyrd,154,28,1
the anxiety,the anxiety: willow & tyler cole,11,16,-
purgatory,tyler childers,72,44,16
map of the soul : 7,bts,86,11,-
buy dirt (ep),jordan davis,15,157,11
blurryface,twenty one pilots,320,17,-
sniper gang presents syko bob & snapkatt: nightmare babies,various artists,1,14,17
nothing was the same,drake,402,10,101
born to die,lana del rey,408,5,10
destined 2 win,lil tjay,34,5,124
a different christmas,bryson tiller,1,706,5
made in lagos,wizkid,22,1,97
jose,j balvin,10,178,1
blonde,frank ocean,255,2,100
ready to die,the notorious b.i.g.,64,86,2
sounds of summer: the very best of the beach boys,the beach boys,274,2,116
17,xxxtentacion,209,437,2
